spp,Lat,Lon
MEX026_poecilosoma,18.44861111,-95.06388889
MEX026_poecilosoma,18.05956,-96.64557778
MEX026_poecilosoma,19.71888889,-104.6019444
MEX026_poecilosoma,19.37086111,-96.68205278
MEX026_poecilosoma,18.65444444,-102.1130556
MEX026_poecilosoma,19.36351667,-96.87950833
MEX026_poecilosoma,18.3625,-99.5075
MEX026_poecilosoma,18.28638889,-99.46333333
MEX026_poecilosoma,17.54527778,-99.13694444
MEX026_poecilosoma,19.42916667,-96.96416667
MEX026_poecilosoma,19.38138889,-96.98805556
MEX026_poecilosoma,17.65777778,-99.67638889
MEX026_poecilosoma,19.38305556,-96.99972222
MEX026_poecilosoma,19.50911111,-96.94319444
MEX026_poecilosoma,19.51211111,-96.9421
MEX026_poecilosoma,19.51213056,-96.9421
MEX026_poecilosoma,17.64083333,-99.65527778
MEX026_poecilosoma,19.19083333,-96.98833333
MEX026_poecilosoma,19.41666667,-101.9111111
MEX026_poecilosoma,19.53833333,-96.94
MEX026_poecilosoma,19.65083333,-102.4211111
MEX026_poecilosoma,19.38611111,-101.8041667
MEX026_poecilosoma,19.672,-101.152
MEX026_poecilosoma,18.89194444,-98.72944444
MEX027_quadristriata,17.567105,-92.95
MEX027_quadristriata,18.4193027,-95.1001416
MEX027_quadristriata,18.57653,-95.082619
MEX027_quadristriata,18.584899,-95.07393
MEX027_quadristriata,19.51213056,-96.9421
MEX027_quadristriata,19.54,-96.9275
MEX034_spn_xalapensis,19.50911111,-96.94319444
MEX034_spn_xalapensis,19.51213056,-96.9421
MEX035_spn_isabelae,19.36351667,-96.87950833
MEX039_spn_dzuli,19.36351667,-96.87950833
osmundsonae,19.35749,-99.827
osmundsonae,19.18333,-100.13333
regina,20.1095527,-99.916016
regina,19.0487,-99.3139
regina,19.07473333,-99.33288611
regina,18.7822,-97.4296
